iter	RMSE
0	37.78535711
1	37.45917262
2	37.02418264
3	36.48894499
4	36.09647274
5	35.80231235
6	35.36805738
7	34.96834715
8	34.57662679
9	34.05628357
10	33.63092925
11	33.23817537
12	32.84514647
13	32.50354934
14	32.18805104
15	31.89295241
16	31.50245668
17	31.11322621
18	30.72757293
19	30.29350092
20	30.05763881
21	29.64043096
22	29.40447408
23	29.04096653
24	28.76310565
25	28.44289084
26	28.14830785
27	27.64798045
28	27.23569465
29	26.95212262
30	26.63191413
31	26.14700392
32	25.88903602
33	25.65199272
34	25.44870984
35	25.05629267
36	24.67548984
37	24.31724252
38	24.13935459
39	23.83586787
40	23.60657193
41	23.41614376
42	23.19941616
43	22.92253419
44	22.70321473
45	22.43715356
46	22.1484741
47	21.97032982
48	21.71981875
49	21.52907841
50	21.30728977
51	21.08874424
52	20.92390036
53	20.6518924
54	20.42381925
55	20.21170852
56	19.98244933
57	19.80996072
58	19.61530326
59	19.46632211
60	19.21864833
61	18.94738287
62	18.69062703
63	18.49027408
64	18.31892015
65	18.07624455
66	17.80960833
67	17.55276465
68	17.28782335
69	17.07615082
70	16.92708192
71	16.72993103
72	16.52554385
73	16.41239455
74	16.23832388
75	16.06307831
76	15.83596974
77	15.66641548
78	15.4904988
79	15.30248222
80	15.14520054
81	14.98492394
82	14.75134868
83	14.61875139
84	14.41399681
85	14.26053771
86	14.10927653
87	13.92341451
88	13.73298172
89	13.51201905
90	13.34644074
91	13.22179057
92	13.07634006
93	12.87298503
94	12.7372035
95	12.61524844
96	12.45757246
97	12.33652718
98	12.19940396
99	12.05704166
100	11.86939275
101	11.68554478
102	11.55637855
103	11.4100987
104	11.22718223
105	11.11579355
106	10.94763221
107	10.84328254
108	10.68412732
109	10.50382469
110	10.34602265
111	10.23232813
112	10.08899986
113	9.987575516
114	9.866910074
115	9.70334075
116	9.604278755
117	9.474424476
118	9.370948329
119	9.230755821
120	9.081626626
121	8.991818305
122	8.86717509
123	8.72994932
124	8.634397751
125	8.539992235
126	8.447033809
127	8.355476526
128	8.273664383
129	8.167281028
130	8.078669368
131	7.993179252
132	7.907280759
133	7.822343986
134	7.721509808
135	7.624990934
136	7.545185113
137	7.464533952
138	7.38509779
139	7.292784066
140	7.178376996
141	7.088647282
142	7.013356776
143	6.925689815
144	6.827964135
145	6.731914169
146	6.624064609
147	6.541263801
148	6.439432237
149	6.339512377
