iter	Passed	Remaining
0	136	20271
1	136	10104
2	136	6712
3	137	5010
4	137	3998
5	138	3315
6	138	2837
7	139	2471
8	139	2189
9	140	1962
10	141	1782
11	142	1640
12	143	1514
13	144	1401
14	145	1305
15	145	1219
16	185	1450
17	186	1367
18	186	1288
19	187	1219
20	190	1169
21	191	1116
22	192	1063
23	193	1015
24	194	970
25	195	930
26	195	891
27	196	857
28	197	824
29	198	793
30	198	763
31	199	735
32	199	709
33	204	696
34	204	673
35	205	650
36	206	629
37	206	608
38	207	589
39	207	571
40	209	556
41	211	543
42	211	527
43	212	511
44	213	497
45	214	484
46	215	472
47	217	461
48	218	449
49	226	452
50	227	441
51	228	430
52	228	418
53	229	407
54	229	397
55	230	386
56	231	376
57	231	367
58	232	357
59	232	348
60	233	340
61	233	331
62	234	323
63	234	315
64	235	307
65	235	300
66	236	292
67	236	285
68	237	279
69	238	272
70	238	265
71	239	259
72	240	253
73	241	247
74	242	242
75	242	236
76	243	230
77	245	226
78	245	220
79	246	215
80	246	210
81	247	205
82	248	200
83	248	195
84	249	190
85	249	185
86	250	181
87	250	176
88	251	172
89	252	168
90	253	164
91	253	160
92	254	155
93	254	151
94	255	147
95	255	143
96	256	140
97	256	136
98	257	132
99	258	129
100	260	126
101	260	122
102	261	119
103	261	115
104	262	112
105	262	109
106	263	105
107	264	102
108	264	99
109	265	96
110	266	93
111	267	90
112	267	87
113	268	84
114	269	81
115	270	79
116	271	76
117	275	74
118	276	71
119	277	69
120	277	66
121	278	63
122	278	61
123	279	58
124	280	56
125	280	53
126	281	50
127	281	48
128	282	45
129	282	43
130	283	41
131	284	38
132	284	36
133	285	34
134	285	31
135	286	29
136	286	27
137	287	24
138	287	22
139	288	20
140	288	18
141	289	16
142	289	14
143	290	12
144	290	10
145	291	7
146	291	5
147	292	3
148	292	1
149	293	0
